,target_met_frac,no_budget_frac,avg_fine_period,fine_per_house,time_conv,profit_std
0,0.0,0.0,160.8,309.1229749297673,170.0,205.22172432965652
1,0.3,0.0,168.0,180.90336721101826,133.0,770.3439480976082
2,0.0,0.0,157.2,28.889568650996424,240.0,708.9564173886397
3,0.1,0.0,168.0,71.44878648505481,120.0,1104.7319077321174
4,0.0,0.0,175.2,28.83575434367507,200.0,949.7483677310852
5,0.1,0.0,168.0,200.2458895128101,240.0,1289.90552456232
6,0.0,0.0,164.4,26.613622078467213,240.0,566.9305948369547
7,0.0,0.0,153.6,38.08104411764706,213.0,1021.7245617187897
8,0.1,0.0,160.8,96.088767498953,160.0,648.0814276295487
9,0.0,0.0,160.8,285.30023539779313,240.0,617.5271153375987
10,0.0,0.0,157.2,92.47231461325251,225.0,842.2368756040685
11,0.0,0.0,160.8,114.16704446747455,240.0,921.2952322420443
12,0.0,0.0,168.0,157.37404955251128,213.0,476.04970932165963
13,0.0,0.0,204.0,124.4651609392708,213.0,560.6498512060381
14,0.0,0.0,160.8,26.068380409752283,133.0,480.8595962035039
15,0.0,0.0,153.6,45.621161103347,240.0,417.22392942776827
16,0.0,0.0,168.0,260.16492653346177,224.0,249.66126956377587
17,0.4,0.0,164.4,14.536755716386256,240.0,968.7711578094898
18,0.0,0.0,171.6,31.31912798910137,240.0,916.0102185788963
19,0.0,0.0,150.0,180.6298586532888,240.0,447.2063998047789
20,0.0,0.0,164.4,410.3115925090148,240.0,822.4387307587047
21,0.0,0.0,189.6,13.550477677536259,133.0,694.4983102565445
22,0.0,0.0,164.4,26.395363790463115,240.0,674.8575018057543
23,0.0,0.0,207.6,129.0242913014525,133.0,692.5665753794696
24,0.0,0.0,168.0,128.3309090180582,240.0,500.3290839400164
25,0.0,0.0,175.2,170.7318248317518,80.0,1065.1193056816808
26,0.0,0.0,142.8,281.5098938651966,240.0,893.7629379407039
27,0.0,0.0,182.4,8.173922728937423,227.0,707.3117053662871
28,0.0,0.0,160.8,427.77603506329666,240.0,552.1545116516104
29,0.0,0.0,157.2,229.59128478759445,164.0,1266.5856905339344
30,0.0,0.0,153.6,85.77564416284687,170.0,525.6681158977664
31,0.0,0.0,160.8,19.832337905935052,240.0,887.3810028572743
32,0.3,0.0,164.4,163.58460014075774,146.0,360.21668474686624
33,0.0,0.0,171.6,90.62430694924277,133.0,1454.4434231509774
34,0.0,0.0,160.8,139.90654651868894,160.0,1092.0037574151067
35,0.0,0.0,160.8,69.83769427073379,173.0,461.8098404230487
36,0.0,0.0,153.6,43.464978421761074,240.0,783.5342036725484
37,0.0,0.0,150.0,118.65899027676258,93.0,574.828498611429
38,0.0,0.0,171.6,164.85390887823092,240.0,575.7340507175269
39,0.0,0.0,168.0,244.10483126529846,146.0,623.9023265373207
40,0.1,0.0,153.6,267.2701084079829,240.0,996.1652832150886
41,0.0,0.0,168.0,52.37702659613427,80.0,277.6870014671347
42,0.0,0.0,153.6,229.85909453866842,240.0,345.69739273892037
43,0.0,0.0,153.6,187.584407986814,227.0,667.5078740352923
44,0.0,0.0,160.8,118.9942591017626,225.0,779.4279546128403
45,0.3,0.0,178.8,147.25571673376348,227.0,733.5336956552604
46,0.0,0.0,168.0,63.939677630063116,240.0,1152.0790477922285
47,0.0,0.0,150.0,203.9488341089983,240.0,832.4681448222522
48,0.0,0.0,189.6,428.04427675584685,240.0,584.5867367796053
49,0.0,0.0,146.4,98.0197650356038,80.0,361.9336040414277
50,0.0,0.0,157.2,273.11597023344433,170.0,327.0513726519725
51,0.1,0.0,222.0,200.48611646505302,227.0,798.4215567250449
52,0.0,0.0,160.8,60.14380301864581,240.0,853.0747151906382
53,0.0,0.0,168.0,49.88169301985854,240.0,710.6342716721982
54,0.0,0.0,175.2,22.39167660100129,146.0,723.4957589071463
55,0.0,0.0,153.6,56.232485096465275,240.0,725.3246971171718
56,0.0,0.0,157.2,233.83677019514624,143.0,395.5128370923349
57,0.0,0.0,171.6,260.27854737378686,240.0,232.334206196465
58,0.0,0.0,164.4,138.60932986710822,120.0,578.0211053141511
59,0.4,0.0,146.4,185.32981794429696,160.0,701.2280467475165
60,0.0,0.0,146.4,137.34568645024694,240.0,1018.4847944133572
61,0.1,0.0,142.8,94.23005363857271,53.0,794.8181179138472
62,0.0,0.0,189.6,33.481495485043624,240.0,1543.6665064898943
